mode,resize_target,network_type,samples,avg_client_ms,avg_server_ms,avg_end_to_end_ms,p90_end_to_end_ms
full_remote,none,4g,3,743.6333333353201,122.39753333172605,866.0308666670462,800.7554000244709
classify_only,none,4g,1,412.59999999403954,None,None,None
