dataset,concurrency,rps,avg_ms,p90_ms,p99_ms
full_remote,1,15.540190359202898,64.06189657396132,82.2790999955032,92.1735999872908
full_remote,5,62.48732188225427,79.69777654264924,113.37900000216905,143.4196000045631
full_remote,10,47.12856441265057,211.64837767598368,256.65129999106284,287.0279000053415
classify_only,1,58.72105386066833,17.014197676007722,30.528800009051338,31.803399993805215
classify_only,5,479.7096441743013,10.348200740955688,23.44400000583846,32.315100004780106
classify_only,10,0.03317906082803823,22.439799999119714,22.439799999119714,22.439799999119714
